Etiquetas de fila,Promedio de Rating_Personal,Promedio de Rating_RYM,Cuenta de Ranking_On_Spotify,Cuenta de Artist_Name
Él Mató a un Policía Motorizado,3.5,3.62,0,1
Empire of the Sun,2.5,2.88,0,1
Eslabón Armado,2.5,3.57,0,1
Fishmans,4.25,4.035,0,2
FKA twigs,3.5,3.7,0,1
Geese,4.5,3.86,0,1
Grupo Marrano,2,2.88,0,1
Humbe,3,3.15,0,1
Interpol,3.5,3.98,0,1
Kase.O,3,3.56,0,1
Ke Personajes,1.5,2.58,0,1
King Crimson,5,4.33,0,1
Lara91k,3,2.91,0,1
LATIN MAFIA,3.5,3.48,0,1
Lil Yachty,4.5,3.51,0,1
Little Jesus,3.166666667,3.07,0,3
Méne,4,3.84,0,1
MGMT,3.5,3.68,0,1
Milo J,4,3.72,0,1
Miranda!,3,3.9,0,1
NateWantsToBattle,2.5,3.01,0,1
Nsqk,4,3.456666667,0,3
OV7,2,2.64,0,1
Plastilina Mosh,3,3.63,0,1
rusowsky,3.5,3.46,0,1
Sampha,3.5,3.78,0,1
Serú Girán,4.25,3.83,0,2
SEVENTEEN,2.5,2.76,0,1
Slowdive,3.5,4.15,0,1
Tainy & Yandel,2,2.95,0,1
Tango Astral,3.5,3.51,0,1
Turnstile,4,3.29,0,1
Van Halen,3,2.89,0,1
Veeyam,3.5,3.62,0,1
Weyes Blood,3.5,4,0,1
Young Miko,2.5,3.13,0,1
Yung Lean,3.5,3.07,0,1
Zoé,3.5,3.57,0,1
Zurdok,4.5,3.65,0,1
Tokyo Incidents,3.5,3.58,0,1
Total general,3.302739726,3.330356164,79,365
